"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Joseph_Morong: Pres. Duterte jokes abt allergy he has now @gmanews https://t.co/J5KcseppLZ",FALSE,0,NA,2016-10-11 10:14:47,FALSE,NA,"785785710959661057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lyan_nayl",9,TRUE,FALSE,NA,NA
"2","#TV5Aksyon | Pagsasampa ng kaso laban kay Pres. Duterte, pinaplano ni Sen. De Lima",FALSE,0,"News5AKSYON",2016-10-11 10:12:42,FALSE,"785785107386818560","785785185929351168","133152120","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","News5AKSYON",0,FALSE,FALSE,NA,NA
"3","Paano maayos ang bansa natin kung andaming obstacles sa dinadaanan ni pres.duterte ..#hipocracies",FALSE,0,NA,2016-10-11 10:12:06,FALSE,NA,"785785035974586369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adamshaolove",0,FALSE,FALSE,NA,NA
"4","RT @cnnphilippines: Pres. Duterte on Agot Isidro's psychopath comment: I leave her to her Consti right to free expression. She should enjoy…",FALSE,0,NA,2016-10-11 10:10:30,FALSE,NA,"785784632260366336",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","op_rasul",39,TRUE,FALSE,NA,NA
"5","RT @karl1809: To critics and anti Pres Duterte this is all for you. https://t.co/m3FJ5KBJkX",FALSE,0,NA,2016-10-11 10:10:27,FALSE,NA,"785784619710894080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NoobyScholar",19,TRUE,FALSE,NA,NA
"6","REAKSYON | TAKBO NG NEGOSYO SA BANSA SA UNANG 100 ARAW NI PRES. DUTERTE PART (2/2) @Luchitweet… https://t.co/meMX3OOwZN",FALSE,0,NA,2016-10-11 10:10:19,TRUE,NA,"785784585799897089",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","News5E",0,FALSE,FALSE,NA,NA
"7","Pres. Duterte on critics: I DON'T DEMAND RESPECT, I JUST WANT THEM TO DO WHAT'S RIGHT.",FALSE,0,NA,2016-10-11 10:07:34,FALSE,NA,"785783897279737856",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Lylebebbz",0,FALSE,FALSE,NA,NA
"8","Pagsagot sa mga banat ni Agot Isidro sa Pres. Duterte pinaubaya na kay Mocha Uson
READ:https://t.co/YkQUQkNGuR https://t.co/mLPr8XSEkE",FALSE,0,NA,2016-10-11 10:06:59,FALSE,NA,"785783750420406272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dwiz882",0,FALSE,FALSE,NA,NA
"9","@Joseph_Morong @gmanews ano ba talaga, Pres. Duterte? Linawin nyo na kasi. Wag puro tirades!",FALSE,0,"Joseph_Morong",2016-10-11 10:03:03,FALSE,"785767362146373632","785782759746711556","15947471","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","foolipino",0,FALSE,FALSE,NA,NA
"10","Pres. Duterte Distritubes P100-Million Worth of Equipment to Farmers &amp; Fishermen of Basilan https://t.co/yAh2u587dk",FALSE,0,NA,2016-10-11 09:57:58,FALSE,NA,"785781481339654144",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","mArij0",0,FALSE,FALSE,NA,NA
"11","RT @cnnphilippines: Pres. Duterte on Agot Isidro's psychopath comment: I leave her to her Consti right to free expression. She should enjoy…",FALSE,0,NA,2016-10-11 09:53:30,FALSE,NA,"785780357559820288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","News2PHI",39,TRUE,FALSE,NA,NA
"12","RT @sh3ysh3y: Check out Japanese Artist Ayumi Endo &amp; her Painting Gift for Pres. Duterte today in Malacañang.
""Building Friendships &amp; Progr…",FALSE,0,NA,2016-10-11 09:52:13,FALSE,NA,"785780032480215040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NoobyScholar",12,TRUE,FALSE,NA,NA
"13","RT @cnnphilippines: Pres. Duterte on Agot Isidro's psychopath comment: I leave her to her Consti right to free expression. She should enjoy…",FALSE,0,NA,2016-10-11 09:52:07,FALSE,NA,"785780008732065792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gkxxx_",39,TRUE,FALSE,NA,NA
"14","RT @dearscarjames: I may disagree with Agot Isidro's ""psychopath"" statement on Pres. Duterte but the ""baog"" statement on her on Facebook is…",FALSE,0,NA,2016-10-11 09:50:39,FALSE,NA,"785779638387683332",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","faimar20",5,TRUE,FALSE,NA,NA
"15","Pres. #Duterte officiates the oath taking of 25 officials of League of Municipalities of Philippines https://t.co/ocsDLRg0UJ",FALSE,0,NA,2016-10-11 09:48:39,FALSE,NA,"785779135805358080",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","dutertevideos",0,FALSE,FALSE,NA,NA
"16","I added a video to a @YouTube playlist https://t.co/ocsDLRg0UJ Pres. Duterte officiates the oath taking of 25 officials of League of",FALSE,0,NA,2016-10-11 09:48:18,FALSE,NA,"785779048249233408",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","dutertevideos",0,FALSE,FALSE,NA,NA
"17","RT @sh3ysh3y: Check out Japanese Artist Ayumi Endo &amp; her Painting Gift for Pres. Duterte today in Malacañang.
""Building Friendships &amp; Progr…",FALSE,0,NA,2016-10-11 09:47:43,FALSE,NA,"785778900026609664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jesse_rivales",12,TRUE,FALSE,NA,NA
"18","RT @PTVph: BALITA: Tiwala ng mga mamamamayan kay Pres. Duterte, nananatiling mataas https://t.co/ghsYNx1sCt via @YouTube",FALSE,0,NA,2016-10-11 09:46:26,FALSE,NA,"785778576469532673",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","MaricrisDec09",1,TRUE,FALSE,NA,NA
"19","RT @Cold_Peace_: Ex-Pres Ramos says Duterte""huge disappointment and letdown""
Only politico in Philippines polling higher than Duterte
https…",FALSE,0,NA,2016-10-11 09:45:02,FALSE,NA,"785778226354192384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vichui",12,TRUE,FALSE,NA,NA
"20","BALITA: Tiwala ng mga mamamamayan kay Pres. Duterte, nananatiling mataas https://t.co/ghsYNx1sCt via @YouTube",FALSE,3,NA,2016-10-11 09:42:21,FALSE,NA,"785777549116710912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PTVph",1,FALSE,FALSE,NA,NA
"21","RT @bandila: UN at iba pang int'l organizations, patuloy pa ring magbibigay ng tulong sa kabila ng mga pahayag ni Pres. Duterte https://t.c…",FALSE,0,NA,2016-10-11 09:40:37,FALSE,NA,"785777112099594240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsMeMarilou_R",10,TRUE,FALSE,NA,NA
"22","RT @dearscarjames: I may disagree with Agot Isidro's ""psychopath"" statement on Pres. Duterte but the ""baog"" statement on her on Facebook is…",FALSE,0,NA,2016-10-11 09:40:20,FALSE,NA,"785777041937281024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LumCecel",5,TRUE,FALSE,NA,NA
"23","RT @sh3ysh3y: Check out Japanese Artist Ayumi Endo &amp; her Painting Gift for Pres. Duterte today in Malacañang.
""Building Friendships &amp; Progr…",FALSE,0,NA,2016-10-11 09:40:12,FALSE,NA,"785777007044853760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IamJemPretty",12,TRUE,FALSE,NA,NA
"24","RT @sh3ysh3y: Check out Japanese Artist Ayumi Endo &amp; her Painting Gift for Pres. Duterte today in Malacañang.
""Building Friendships &amp; Progr…",FALSE,0,NA,2016-10-11 09:40:03,FALSE,NA,"785776970931900416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gjaldon",12,TRUE,FALSE,NA,NA
"25","RT @sh3ysh3y: Check out Japanese Artist Ayumi Endo &amp; her Painting Gift for Pres. Duterte today in Malacañang.
""Building Friendships &amp; Progr…",FALSE,0,NA,2016-10-11 09:38:50,FALSE,NA,"785776665783701504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AgentRamen",12,TRUE,FALSE,NA,NA
